('운용관리계약과 자산관리계약은 각각 체결해야 합니까?', 'life')
('예약취소를 했는데 결제 취소는 어떻게 되나요?', 'tour')
('상품찜은 어떻게 사용하나요?', 'tour')
('체크(직불)카드로 주문/결제 후 반품했는데 환불은 언제되나요?', 'shp')
('상품을 직접 방문하여 수령할 수는 없나요?', 'shp')
('상품을 받지 못했는데 발송완료로 표시되는 이유가 뭔가요?', 'shp')
('에어컨 바닥으로 물이 많이 새요.', 'svc')
('장바구니와 찜리스트에 담은 상품은 어디서 확인가능한가요?', 'shp')
('난방/히터 선택이 안돼요.', 'svc')
('에어컨 가스는 얼마 만에 한 번씩 주입하나요. 가스 넣을 때가 된 것 같아요.', 'svc')
('주문한 상품은 언제쯤 받을 수 있나요?', 'shp')
('주문한 상품은 언제쯤 받을 수 있나요?', 'shp')
('상품을 직접 방문하여 수령할 수는 없나요?', 'shp')
('첼로 등과 같은 악기는 어떻게 하나요?', 'tour')
('상품을 받지 못했는데 발송완료로 표시되는 이유가 뭔가요?', 'shp')
('Smart ThinQ 연결이 안돼요. 등록실패가 떠요.', 'svc')
('해외의료기관에서 치료 받은 의료비는 실손보장이 가능한가요?', 'life')
('배송중인 상품의 위치는 어떻게 확인하나요?', 'shp')
('확정기여형에 있어서 운용방법의 변경 시 불이익은 없나요?', 'life')
('하나투어마일리지로 국내선항공권을 구입방법', 'tour')
('개인퇴직연금 가입자는 어떻게 로그인 합니까?', 'life')
('스마트 또는 와이파이 모듈을 어디에 꽂나요.', 'svc')
('신탁계약 만기일에 별도의 해지(해약)신청 없이 출금이 가능합니까?', 'life')
('배송이 지연되는 사유가 무엇인가요?', 'shp')
('[G6] USB로 연결하여 PC와 휴대폰에 파일을 이동하는 방법을 알려주세요.', 'svc')
('롯데닷컴 배송흐름은 어떻게 되나요?', 'shp')
('취소한 상품이 배송되었습니다. 어떻게 하나요?', 'shp')
('[G6] 휴대폰을 다시 시작(리셋)하는 방법이 궁금해요.', 'svc')
('상품을 직접 방문하여 수령할 수는 없나요?', 'shp')
('[이티켓] e-티켓의 인쇄', 'tour')
('취소한 상품이 배송되었습니다. 어떻게 하나요?', 'shp')
('결제를 했는데 현지에서 또 지불 할 게 있나요?', 'tour')
('병원발급 구비서류는 사본은 불가합니까?', 'life')
('유아 나이 기준은 어떻게 적용 되나요?', 'tour')
('자동이체 또는 출금이체동의 등록시 농협계좌는?', 'life')
('선납보험료란 무엇입니까?', 'life')
('상품을 받지 못했는데 발송완료로 표시되는 이유가 뭔가요?', 'shp')
('[요금규정][기타] 소아와 유아 요금은 어떻게 다른가요?', 'tour')
('기프트팩을 통해서 액정 무상 교체를 선택했었는데 보증기간을 확인할 방법이 없나요?', 'svc')
('알짜항공권은 무엇인가요?', 'tour')
('실내기 LED 램프가 깜박 거려요.', 'svc')
('[일본][오키나와] 유이레일패스란 무엇인가요?', 'tour')
('질병으로 입원시 진료비세부내역서를 추가로 첨부하라고 하는데  진료비세부내역서가 무엇인가?', 'life')
('에어컨을 만지면 전기가 흘러요.', 'svc')
('배송이 지연되는 사유가 무엇인가요?', 'shp')
('유류할증료가 무엇인가요?', 'tour')
('신탁상품의 운용내역을 확인하려면 어떻게 해야합니까?', 'life')
('배송이 지연되는 사유가 무엇인가요?', 'shp')
('난방시 실외기에서 물이 떨어지나요?', 'svc')
('취소마감일이 지난 예약이라 그런지 결제를 해야만 예약을 할 수가 있네요. 결제 없이는 예약이 불가능 한가요?', 'tour')
('스탠드 에어컨 스마트 진단 사용 방법을 알려주세요.', 'svc')
('계약을 해지 후 보험료가 통장에서 인출된 경우 환불절차는 어떻게 됩니까?', 'life')
('배송중인 상품의 위치는 어떻게 확인하나요?', 'shp')
('객실요금은 1인당 가격인가요?', 'tour')
('슬로모션 촬영 영상 포토(Google)앱에서 슬로모션 재생이 안되는 경우', 'svc')
('여권에 이름은 띄어쓰기가 되어 있는데 괜찮나요?', 'tour')
('적립식펀드 만기가 도래했습니다. 이 경우 만기일에 자동으로 환매되나요?', 'life')
('발송완료 알림톡(SMS) 을 받았는데 상품은 언제쯤 받을 수 있는거예요?', 'shp')
('예약한 운전자 외 추가운전자 등록이 가능한가요?', 'tour')
('국내항공 탑승시 임산부 관련 규정을 알고 싶습니다.', 'tour')
('퇴직보험에 가입했다면 신규입사자도 퇴직보험에 가입할 수 있습니까?', 'life')
('기프트팩 앱(기본 앱) 설치는 어떻게 하나요', 'svc')
('전원이 켜지지 않아요.', 'svc')
('부활을 하려면 반드시 내방해야 합니까?', 'life')
('금융거래회원으로 전환하는 방법을 알려주세요.', 'life')
('같은 호텔 같은 룸타입이 2개 이상 검색되는 이유가 궁금합니다', 'tour')
('아이디를 잊어버린 경우 어떻게 확인 하나요?', 'shp')
('(난방) 실외기가 돌아가지 않아요. 실외기가 늦게 돌아가요.', 'svc')
('발송완료 알림톡(SMS) 을 받았는데 상품은 언제쯤 받을 수 있는거예요?', 'shp')
('계좌 등록을 하려고 하니  기존에 모바일현금카드에 가입된 고객이라며 계좌 등록이 안됩니다.', 'svc')
('객실 요금은 인당 요금인가요?', 'tour')
('OTG 인식이 안됩니다.', 'svc')
('변액보험에 가입해서 매월 보험료를 내고 있는데  주식시장이 계속 안 좋아지는데 어떻게 해야 할까요?', 'life')
('중도에 특약을 삭제할 수 있는지요?', 'life')
('교환이 가능한 경우와 가능하지 않은 경우에 대해 자세히 알고 싶습니다.', 'shp')
('에어컨 여름 사용 전 점검 방법이 궁금해요', 'svc')
('휴대폰 터치가 잘 안됩니다.', 'svc')
('공항미팅시간에 맞춰갈 수 없을 것 같은데 어떤 조치를 취해야 하나요?', 'tour')
('항공권 변경이나 취소가능한가요?', 'tour')
('다른 사람의 이름으로 이메일이 옵니다.', 'life')
('당사는 법정관리업체인데 퇴직보험에 가입할 필요가 있습니까?', 'life')
('배송중인 상품의 위치는 어떻게 확인하나요?', 'shp')
('대출을 받으면 보험을 해지(해약)할 수 없습니까?', 'life')
('[중동] 이스라엘 입국 시 다른 중동지역 국가 입국에 제한을 받지 않나요?', 'tour')
('[유럽] 유로스타란? 유로스타 이용하는 방법 알려주세요!', 'tour')
('노크 코드로 꺼진 화면에서 잠금을 해제하는 방법을 알려 주세요.', 'svc')
('체크인하는 방법을 자세히 알고 싶습니다', 'tour')
('에어컨을 가동해도 냉기도 없고 배수 호스에서 물도 안 나와요.', 'svc')
('스마트/와이파이 모듈을 구입했는데 어디에 꽂나요.', 'svc')
('예약시 성별  생년월일을 잘못 입력했습니다.', 'tour')
('항공권 부분 환불이 가능한가요?', 'tour')
('투인원 벽걸이만 냉기가 나오지 않아요.', 'svc')
('가상계좌를 통해서 원리금 납입이 가능한가요?', 'life')
('발송완료 알림톡(SMS)을 받았는데  송장 추적이 되지 않아요.', 'shp')
('발송완료 알림톡(SMS)을 받았는데  송장 추적이 되지 않아요.', 'shp')
('앵글 및 베란다 새시가 있다면 앵글이나 새시를 손으로 살짝 잡아 보시겠어요?', 'svc')
('카드 할인요금으로 예약하였습니다. 다른 카드로 변경하거나 현금 결제도 가능한가요?', 'tour')
('렌터카 대여 가능나이가 어떻게 되나요?', 'tour')
('OTG 젠더를 사용해서 신규 휴대폰으로 데이터 이동은 어떻게 하나요.', 'svc')
('중간정산과 퇴직보험의 관계는 어떻게 됩니까?', 'life')
('[공동구매항공권] 공동구매항공권은 무엇인가요?', 'tour')
('예약 진행은 어떻게 되나요?', 'tour')
('G7 상태표시줄에 표시된 알림 아이콘을 숨기고 싶어요.', 'svc')
('보험료를 받으러 오지 않아 계약이 실효되면 보장은 어떻게 되나요?', 'life')
('해외여행자 보험이란??', 'tour')
('[중동] 환전은 어떻게 얼마나 해야 할까요?', 'tour')
('특별계정 투입금액이란 무엇입니까?', 'life')
('U+ 로밍 편리 서비스 앱은 어떻게 사용하나요?', 'svc')
('발송완료 알림톡(SMS) 을 받았는데 상품은 언제쯤 받을 수 있는거예요?', 'shp')
('발송완료 알림톡(SMS) 을 받았는데 상품은 언제쯤 받을 수 있는거예요?', 'shp')
('공동운항이란??', 'tour')
('휴일에도 상품을 받을수 있나요?', 'shp')
('퇴직연금의 급여는 언제 받을 수 있나요?', 'life')
('[직영상품] 주문완료 후 옵션 변경을 할 수 있나요?', 'shp')
('주문한 상품은 언제쯤 받을 수 있나요?', 'shp')
('펀드와 신탁의 차이점은 무엇입니까?', 'life')
('해지(해약)는 언제 가능한가요?', 'life')
('롯데닷컴 배송흐름은 어떻게 되나요?', 'shp')
('일반폰 사용 중  멈췄나요.', 'svc')
('최신 소프트웨어 버전으로 업데이트하고 싶어요.', 'svc')
('발송완료 알림톡(SMS) 을 받았는데 상품은 언제쯤 받을 수 있는거예요?', 'shp')
('벽걸이  에어컨  바람 소리가  커요. 소음이 커졌어요.', 'svc')
('신용카드 결제후 다른카드로 변경할수 있나요?', 'tour')
('주문한 상품은 언제쯤 받을 수 있나요?', 'shp')
('보안카드 또는 OTP 기기를 분실했는데 금융거래회원으로 가입할 수 있습니까?', 'life')
('에어컨에 코드가 없어요. 코드가 잘렸어요.', 'svc')
('MY삼성생명 접속 중 보안프로그램 설치에서 화면이 멈춰있습니다.', 'life')
('간편비밀번호 등록시 입력 오류가 나오는 경우는 어떻게 해야 하나요?', 'life')
('탈퇴 후 재가입까지 기간 제한이 있나요?', 'shp')
('롯데닷컴 배송흐름은 어떻게 되나요?', 'shp')
('V30에서 고음질 녹음시 배경 음악 없이 원음만 녹음하려면 어떻게 하나요.', 'svc')
('현지에서 다급하면 어디로 연락하면 되나요?', 'tour')
('실시간 계좌이체 이용 방법에 대해 알려주세요.', 'shp')
('변액보험 펀드수익률은 직전1년/연환산누적수익률 등 수익률을 표시해 주는데요  어떻게 구하나요?', 'life')
('가상계좌란 무엇인가요?', 'shp')
('배송중인 상품의 위치는 어떻게 확인하나요?', 'shp')
('이메일(자동이체 입금안내 등) 서비스를 신청합니다.', 'life')
('G6 자동 통화 녹음 기능은 어떻게 사용하나요.', 'svc')
('롯데닷컴 배송흐름은 어떻게 되나요?', 'shp')
('간편비밀번호 서비스는 무엇인가요?', 'life')
('한방병원 진료비도 실손의료비보장특약에서 보장이 가능한가요?', 'life')
('표시창에 CH05가 떠요', 'svc')
('엑셀파일이 올라가지 않습니다. 시스템 에러라고 나옵니다.', 'life')
('배송중인 상품의 위치는 어떻게 확인하나요?', 'shp')
('배수펌프가 작동하지 않아요.', 'svc')
('배송이 지연되는 사유가 무엇인가요?', 'shp')
('Smart ThinQ 모듈 설치 및 Wifi 연결 방법을 알려주세요.(듀얼/챔피언/칸 & 위너 모델)', 'svc')
('발송완료 알림톡(SMS)을 받았는데  송장 추적이 되지 않아요.', 'shp')
('항공권 결제는 어떻게 하나요?', 'tour')
('전화 상담 가입과 일반 설계사(컨설턴트)를 통한 가입시의 차이점은?', 'life')
('비자 대행해 줄 때 수수료를 지불해야 하나요?', 'tour')
('국민연금전환금을 어떻게 처리합니까?', 'life')
('비디오 전문가 모드로 촬영 시 마이크 설정은 어떻게 하나요?', 'svc')
('휴대폰의 데이터가 삭제되었나요.', 'svc')
('예약금을 낸 후 나머지 잔액은 언제까지 내야 하죠?', 'tour')
('에어컨에 코드가 없어요. 코드가 잘렸어요.', 'svc')
('변액보험 펀드변경은 왜 하나요?', 'life')
('탑승시간 이후 항공권 취소방법은 어떻게 되나요?', 'tour')
('수익자 변경 관련 안내 입니다.', 'life')
('휴일에도 상품을 받을수 있나요?', 'shp')
('새 제품인데 이상한 냄새가 나요.', 'svc')
('배송중인 상품의 위치는 어떻게 확인하나요?', 'shp')
('LG페이 교통카드 등록 시  LG페이 교통카드를 주 교통카드로 설정하려면 먼저 삼성페이 교통카드를 삭제해 주세요 라고 나옵니다.', 'svc')
('해외에서 사용한 휴대폰의 [SIM Lock 해지]가 국내에서 가능한가요?', 'svc')
('발송완료 알림톡(SMS)을 받았는데  송장 추적이 되지 않아요.', 'shp')
('인솔자 동행 미정이라고 되어있는데 몇 명부터 동행인가요?', 'tour')
('통화 기록에 문자메시지 아이콘 없음', 'svc')
('휴대폰 변경 후 메시지 수신이 안돼요.', 'svc')
('리모컨 화면이 꺼져있어요.', 'svc')
('아동요금과 유아요금은 어떤 기준으로 적용 되나요?', 'tour')
('상품을 직접 방문하여 수령할 수는 없나요?', 'shp')
('배수펌프가 작동하지 않아요. 에어컨에서 물이 새요.', 'svc')
('미적립된 부분은 어떻게 근로자에게 지급되나요?', 'life')
('[영수증] 영수증관련 문의 답변', 'tour')
('(크라운)필터 청소는 어떻게 하나요.', 'svc')
('종업원 퇴직시 사무처리가 종퇴보다 더 번거롭지 않습니까?', 'life')
('항공사 마일리지를 이용해서 예약 및 발권이 가능한가요?', 'tour')
('패스는 양도 가능한가요?', 'tour')
('에어컨의 배관 단열재가 벗겨졌어요.', 'svc')
('상품을 직접 방문하여 수령할 수는 없나요?', 'shp')
('롯데닷컴 배송흐름은 어떻게 되나요?', 'shp')
('신탁계약 만기일에 출금은 어떻게 합니까?', 'life')
('DC제도의 경우 사내충당금이 있어  퇴직소득을 지급해야 하는데 이 때  원천징수는 어떻게 해야 합니까?', 'life')
('퇴직보험이 종퇴보험보다 종업원측에 유리한 점은 무엇입니까?', 'life')
('펀드 매매신청을 하려면 어떻게 해야 하나요?', 'life')
('항공사 마일리지로 좌석만 업그레이드 가능한가요?', 'tour')
('전화로/사이버 신용대출을 원리금 균등상환형으로 신청했는데  이자만 빠진 이유가 무엇입니까?', 'life')
('발송완료 알림톡(SMS) 을 받았는데 상품은 언제쯤 받을 수 있는거예요?', 'shp')
('가스냄새가 나요.', 'svc')
('다른 사람 이름으로 인터파크에서 메일이 오고 있습니다. 어떻게 해야 하나요?', 'shp')
('체크인 시 바우처를 꼭 제시 해야 하나요?', 'tour')
('리조트 객실 용어사전', 'tour')
('상품을 직접 방문하여 수령할 수는 없나요?', 'shp')
('대출이 제한되는 경우도 있습니까?', 'life')
('공인인증서로 로그인하고 싶은데 어떻게 해야 합니까?', 'life')
('입금예정자와 실제 입금자가 다르면 입금확인이 안되나요?', 'shp')
('[공항/기내서비스][기타] 항공사 기내서비스 신청가능한가요?', 'tour')
('해지(해약)환급금이 적은 이유에 대한 안내입니다.', 'life')
('[등급] 항공권에 Class(클래스)는 무엇인가요?', 'tour')
('상품을 직접 방문하여 수령할 수는 없나요?', 'shp')
('에어컨에서 기름이 떨어져요.', 'svc')
('보험계약대출은 어떻게 받을수 있나요?', 'life')
('상품을 직접 방문하여 수령할 수는 없나요?', 'shp')
('주말 업무 및 업무시간 관련 안내', 'tour')
('발송완료 알림톡(SMS)을 받았는데  송장 추적이 되지 않아요.', 'shp')
('발송완료 알림톡(SMS)을 받았는데  송장 추적이 되지 않아요.', 'shp')
('내 보장자산 확인은 어떻게 합니까?', 'life')
('Smart ThinQ 연결이 안돼요. 등록실패가 떠요.', 'svc')
('이미 결제한 주문건의 결제수단을 변경할 수 있나요?', 'shp')
('배송이 지연되는 사유가 무엇인가요?', 'shp')
('전자서명 시 오류가 발생하면  어떻게 조치하나요?', 'life')
('버튼을 눌러도 동작하지 않아요.(공기청정 좌우바람 먼지상태 습도 등)', 'svc')
('소프트웨어 업데이트 방법을 알고 계신가요', 'svc')
('G6 게임을 직접 플레이 하지 않을 때 배터리를 절약하고 싶어요.', 'svc')
('환불 규정은 어떻게 되나요?', 'tour')
('보험금청구서는 왜 보험대상자가 작성해야합니까? 방문하는사람이 작성하면 안됩니까?', 'life')
('[기타] 공동운항(코드쉐어)란?', 'tour')
('발송완료 알림톡(SMS) 을 받았는데 상품은 언제쯤 받을 수 있는거예요?', 'shp')
('배관을 재사용 할 수 있나요.', 'svc')
('배송중인 상품의 위치는 어떻게 확인하나요?', 'shp')
('단체보험의 개별전환 신청에 관한 내용 입니다.', 'life')
('취소/변경 절차는 어떻게 되나요?', 'tour')
('법정상속인의 순위에 대해서 안내 입니다.', 'life')
('수하물 분실 시 어떻게 해야 하나요?', 'tour')
('발송완료 알림톡(SMS) 을 받았는데 상품은 언제쯤 받을 수 있는거예요?', 'shp')
('인터넷 결제시 플러그인을 설치하라고 나오는데 어떻게 하나요?', 'tour')
('실효된 후 입원(수술)했었는데 부활할 수 있습니까?', 'life')
('상품을 받지 못했는데 발송완료로 표시되는 이유가 뭔가요?', 'shp')
('상품이 발송되었다는 문자메시지를 받았습니다. 언제쯤 받아볼 수 있나요?', 'shp')
('카드로 결제 했는데  현금으로 환불 받을 수 있나요?', 'tour')
('주문한 상품은 언제쯤 받을 수 있나요?', 'shp')
('주문한 상품은 언제쯤 받을 수 있나요?', 'shp')
('비밀번호 분실로 화면이 잠기셨나요.', 'svc')
('오레오 OS 변경 점이 궁금해요.', 'svc')
('상품을 직접 방문하여 수령할 수는 없나요?', 'shp')
('휴일에도 상품을 받을수 있나요?', 'shp')
('상품을 받지 못했는데 발송완료로 표시되는 이유가 뭔가요?', 'shp')
('SD 카드 인식이 잘 안되고 촬영한 사진이 깨져서 보여요.', 'svc')
('주문한 상품은 언제쯤 받을 수 있나요?', 'shp')
('비회원 주문 확인은 어떻게 하나요?', 'shp')
('상품을 받지 못했는데 발송완료로 표시되는 이유가 뭔가요?', 'shp')
('주문완료 후 배송지를 변경할 수 있나요?', 'shp')
('가입한 보험의 보장내역조회는 어디서 하나요?', 'life')
('상품을 받지 못했는데 발송완료로 표시되는 이유가 뭔가요?', 'shp')
('퇴직연금에도 퇴직금 중간정산제와 같이 근로자가 목돈을 필요로 할 때 사용할 수 있는 제도가 있나요?', 'life')
('환율은 무슨 기준으로 적용되나요?', 'tour')
('주문한 상품은 언제쯤 받을 수 있나요?', 'shp')
('실효(효력상실해지)된 계약을 다시 살리고 싶습니다.', 'life')
('사용 중 전원이 꺼졌어요. 날개가 열린 상태로 멈췄어요.', 'svc')
('LG 페이로 무엇을 할 수 있나요.', 'svc')
('표시창에 ㄱ  ㄴ 표시가 떠요.', 'svc')
('[이름변경] 예약시 영문이름이 여권과 달라도 상관없나요?', 'tour')
('예약을 취소하고 싶습니다.', 'tour')
('주문한 상품은 언제쯤 받을 수 있나요?', 'shp')
('냉방은 되는데 배수 호스에서 물이 나오지 않아요.', 'svc')
('배수 호스가 빠졌어요. 찢어졌어요.', 'svc')
('버튼을 눌러도 동작하지 않아요.(공기청정 좌우바람 먼지상태 습도 등)', 'svc')
('항공권 카드결제 후 환불절차는 어떻게 되나요?', 'tour')
('상품을 직접 방문하여 수령할 수는 없나요?', 'shp')
('실시간예약(확정예약)과 일반예약(대기예약)의 차이는 뭔가요?', 'tour')
('배송이 지연되는 사유가 무엇인가요?', 'shp')
('[예약] 대기자로 예약된 경우 좌석 확약 여부는 언제 알 수 있나요?', 'tour')
('퇴직연금제도가 새로 도입되면  기존의 퇴직보험은 어떻게 되나요?', 'life')
('확정서와 바우처는 무엇인가요?', 'tour')
('온라인상에서 실시간으로 예약할 수 있나요?', 'tour')
('V30의 음성 인식 잠금 해제 기능은 무엇인가요.', 'svc')
('배송이 지연되는 사유가 무엇인가요?', 'shp')
('G6 카메라 일반 모드에서 화면 노출을 조절하려면 어떻게 하나요.', 'svc')
('항공사 마일리지 적립은 어떻게 해야되나요?', 'tour')
('더욱 다양한 카메라 모드를 이용하고 싶어요.', 'svc')
('예약시 필수 지참사항', 'tour')
('Cabotage (자국내항공운송권리) 란 무엇인가요?', 'tour')
('온라인으로만 예약 가능한가요?', 'tour')
('펀드를 가입하려고 합니다. 펀드에 입금을 어떻게 하나요?', 'life')
('실적배당형 펀드를 선택하면 원금을 손해 볼 수도 있습니까?', 'life')
('메시지 설정은 어떻게 하나요?', 'svc')
('호텔 예약 후 할인쿠폰 사용은 어떻게 하나요?', 'tour')
('예약대기인데 왜 결제가 안되는지요?', 'tour')
('실손의료보험에서 비례분담이란 무엇인가요?', 'life')
('휴대폰에 물기나 이물질이 들어갔어요.', 'svc')
('현지 연락처는 무엇을 기재하면 되나요?', 'tour')
('해지(효력상실)되었고  해약환급금이 없습니다. 꼭 방문해서 해약 해야 하나요?', 'life')
('실내기 디스플레이에 청정 표시가 깜박거려요.', 'svc')
('발송완료 알림톡(SMS)을 받았는데  송장 추적이 되지 않아요.', 'shp')
('확정기여형에 있어서 운용방법의 변경 시 불이익은 없나요?', 'life')
('확정기여형에 있어서 적립금 운용방법 선정에 근로자들은 금융지식이 없는데  도움이 필요하지 않나요?', 'life')
('비행기 연착시 렌터카 예약은 취소되나요?', 'tour')
('펀드를 환매하려고하는데 환매예상금액을 조회할 수 있나요?', 'life')
('호텔 숙박에 대한 영수증을 받고 싶습니다.', 'tour')
('배송중인 상품의 위치는 어떻게 확인하나요?', 'shp')
('배송이 지연되는 사유가 무엇인가요?', 'shp')
('NO-SHOW란 무엇인가요?', 'tour')
('발송완료 알림톡(SMS)을 받았는데  송장 추적이 되지 않아요.', 'shp')
('귀국일을 지정하지 않고 예약이 가능한가요?', 'tour')
('타인의 이메일이 발송되었는데요?', 'life')
('알짜항공권도 변경 가능한가요?', 'tour')
('[스케줄변경] 스케줄이 변경되면 어떻게 알수있나요?', 'tour')
('[예약취소 및 환불요청] 항공권 환불하고 싶은데 어떻게 해야하나요? 바로 환불할수 있나요?', 'tour')
('발송완료 알림톡(SMS) 을 받았는데 상품은 언제쯤 받을 수 있는거예요?', 'shp')
('상품을 직접 방문하여 수령할 수는 없나요?', 'shp')
('자동재배분이란 무엇입니까?', 'life')
('휘센앱/스마트씽큐 등록 방법을 알려주세요.', 'svc')
('패키지여행이란 무엇을 말하는 건가요?', 'tour')
('휴일에도 상품을 받을수 있나요?', 'shp')
('세 명이 여행할 경우 함께 방을 쓸 수 있나요? 아니면 방을 두개 써야 하나요?', 'tour')
('도심공항 서비스가 무엇인가요?', 'tour')
('취소한 상품이 배송되었습니다. 어떻게 하나요?', 'shp')
('퇴직보험 운영시 추계액이 필요한 이유는 무엇입니까?', 'life')
('롯데닷컴 배송흐름은 어떻게 되나요?', 'shp')
('항공권 업그레이드 가능한가요?', 'tour')
('[G6] 얼굴 인식 기능은 어떻게 사용하나요.', 'svc')
('상품을 받기 전일 때에는 배송지 변경이 가능한가요?', 'shp')
('보험고객신용대출(사이버  전화로)의 상품 비교', 'life')
('보험료의 납입방법을 매월 납부하는 방법을 변경하고 싶습니다.', 'life')
('[투어마일리지][사용문의] 항공권에 투어마일리지를 사용하고 싶은데요?', 'tour')
('(난방) 실외기에 성에가 껴요.', 'svc')
('유아용 카시트/아동용카시트/아동용 부스터카시트 사용방법', 'tour')
('우수(보험)고객신용대출을 받으면 관련 보험은 해지가 불가능한가요?', 'life')
('휴대폰에 LG 캠 플러스를 어떻게 끼우고 뺄 수 있나요?', 'svc')
('V35 G7의 게임 툴 기능은 무엇인가요.', 'svc')
('표시창이 자동으로 꺼져요. OF가 뜨면서 화면이 꺼져요.', 'svc')
('예약 및 결제 취소 요청을 했으나 카드 취소 확인이 안됩니다. 왜 그런가요?', 'tour')
('에어컨만 사용하면 눈이 따가워요. 눈이 매워요.', 'svc')
('휴대폰 충전이 안됩니다.', 'svc')
('아이디를 여러개 만들 수 있나요?', 'shp')
('미국과 한국의 퇴직급여제도는 어떻게 다름니까?', 'life')
('생명보험사가 도산하면 퇴직연금 적립금은 어떻게 보장됩니까?', 'life')
('애완동물을 데리고 비행기를 탑승할 수 있나요?', 'tour')
('발송완료 알림톡(SMS) 을 받았는데 상품은 언제쯤 받을 수 있는거예요?', 'shp')
('인터넷에서 예약시 요금결제는 어떻게 하나요?', 'tour')
('제상 또는 예열이 뜨면서 난방이 안돼요.', 'svc')
('[일본][규슈] JR 레일패스란 무엇인가요?', 'tour')
('상품을 직접 방문하여 수령할 수는 없나요?', 'shp')
('발송완료 알림톡(SMS) 을 받았는데 상품은 언제쯤 받을 수 있는거예요?', 'shp')
('보험증권(보험가입증서) 재발행 신청 방법 입니다.', 'life')
('여행요금의 입금은 어떻게 해야 합니까?', 'tour')
('(설치 후 처음 사용) 가동 중 멈추면서  NO가 떠요.', 'svc')
('배송이 지연되는 사유가 무엇인가요?', 'shp')
('휴대폰 충전이 안됩니다.', 'svc')
('배송중인 상품의 위치는 어떻게 확인하나요?', 'shp')
('MY삼성생명 전자금융거래 전용 계좌 변경 방법 안내입니다.', 'life')
('취소한 상품이 배송되었습니다. 어떻게 하나요?', 'shp')
('[유럽] 주간열차와 야간열차 예약 어떻게 해야하나요?', 'tour')
('운용관리업무와 자산관리업무는 무엇인지 혼동됩니다', 'life')
('보험료 자동이체시 합산이체가 뭐예요?', 'life')
('국내선 항공요금안내', 'tour')
('리모컨이 안돼요.', 'svc')
('인솔자와 가이드의 차이점은 무엇인가요?', 'tour')
('[다이렉트]정기보험이란 무엇인가요?', 'life')
('취소한 상품이 배송되었습니다. 어떻게 하나요?', 'shp')
('[결제수정] 결제수정관련 문의 답변', 'tour')
('차량 반납방법', 'tour')
('배송중인 상품의 위치는 어떻게 확인하나요?', 'shp')
('휴일에도 상품을 받을수 있나요?', 'shp')
('세금계산서나 현금영수증 발행이 되나요?', 'tour')
('겨울철 이후 처음 사용한다면 자가 점검을 해보셨나요?', 'svc')
('스위스 패스로 이용가능한 열차는 무엇인가요?', 'tour')
('벽걸이 에어컨 청소는 어떻게 하나요.', 'svc')
('배송이 지연되는 사유가 무엇인가요?', 'shp')
('단체 항공은 어떻게 예약 해야 하나요?', 'tour')
('내장형 배터리와 방수기능 적용으로 발열에 안전한가요.', 'svc')
('벽걸이 에어컨에서 물이 떨어져요.', 'svc')
('배송이 지연되는 사유가 무엇인가요?', 'shp')
('암 진단자금 및 수술급여금을 받은 후 암이 추가 발병한 경우?', 'life')
('표시창이 자동으로 꺼져요. OF가 뜨면서 화면이 꺼져요.', 'svc')
('항공 편명 확인해주세요?', 'tour')
('[일본] 일본 영주권자 혹은 유학생도 JR 패스 발권되나요?', 'tour')
('배송중인 상품의 위치는 어떻게 확인하나요?', 'shp')
('발송완료 알림톡(SMS)을 받았는데  송장 추적이 되지 않아요.', 'shp')
('표시창에 ES가 나타나요.', 'svc')
('상품청약철회서는 꼭 작성 해야 하나요?', 'shp')
('예약완료 후 결제는 어디서 어떻게 하나요?', 'tour')
('하나의 사업장에서 여러 제도를 동시에 시행할 수 있나요?', 'life')
('실내기가 흔들리는데 어떻게 고정하나요.', 'svc')
('변액보험 펀드변경은 무엇인가요?', 'life')
('로그인을 했으나 주민등록번호가 인증서소유자와 일치하지 않아 실명확인을 못했다는 메시지가 뜹니다.', 'life')
('하프보드 Vs. 풀보드(Half Board vs. Full Board)', 'tour')
('주식형펀드를 가입한 고객입니다. 당일 현금출금이 가능합니까?', 'life')
('제상 또는 예열이 뜨면서 난방이 안돼요. 난방이 멈춰요.', 'svc')
('에어컨에서 고주파음이 나요.(삐~)', 'svc')
('국내선 예약시 사전 좌석배정을 받을 수 있나요?', 'tour')
('취소한 상품이 배송되었습니다. 어떻게 하나요?', 'shp')
('운용방법(펀드)의 변경시 불이익은 없습니까?', 'life')
('결제는 어떻게 해야 하나요?', 'tour')
('수화물은 최대 몇kg까지 무료인가요?', 'tour')
('판매업체 연락처를 알고 싶어요!', 'shp')
('현행 퇴직금 제도에서 퇴직연금제도로 전환하면 어떤 점들이 좋아지나요?', 'life')
('발송완료 알림톡(SMS)을 받았는데  송장 추적이 되지 않아요.', 'shp')
('퇴직연금제도가 도입되면  현행 퇴직금 제도는 없어지는 건가요?', 'life')
('(난방) 실외기에 성에가 껴요.', 'svc')
('좌석클래스 확인해주세요?', 'tour')
('장기주택저당차입금 이자상환액 연말소득공제 요건은 무엇인가요?', 'life')
('[수화물/동승자][기타] 기내 반입하지 않고 부치는 수하물의 허용은 어떻게 되나요?', 'tour')
('배송이 지연되는 사유가 무엇인가요?', 'shp')
('연속패스와 플렉시패스의 차이는 무엇인가요?', 'tour')
